has,prefers,count
Trump,Trump,18572.0
Trump,Clinton,173.0
Trump,Sanders,78.0
Trump,Cruz,590.0
Trump,Rubio,112.0
Clinton,Trump,67.0
Clinton,Clinton,3738.0
Clinton,Sanders,197.0
Clinton,Cruz,6.0
Clinton,Rubio,5.0
Sanders,Trump,57.0
Sanders,Clinton,564.0
Sanders,Sanders,6397.0
Sanders,Cruz,10.0
Sanders,Rubio,1.0
Cruz,Trump,687.0
Cruz,Clinton,31.0
Cruz,Sanders,7.0
Cruz,Cruz,4693.0
Cruz,Rubio,32.0
Rubio,Trump,77.0
Rubio,Clinton,3.0
Rubio,Sanders,0.0
Rubio,Cruz,44.0
Rubio,Rubio,815.0
