has,prefers,count
Trump,Trump,16568.0
Trump,Clinton,266.0
Trump,Sanders,128.0
Trump,Cruz,852.0
Trump,Rubio,208.0
Clinton,Trump,62.0
Clinton,Clinton,7327.0
Clinton,Sanders,494.0
Clinton,Cruz,11.0
Clinton,Rubio,8.0
Sanders,Trump,37.0
Sanders,Clinton,1596.0
Sanders,Sanders,11350.0
Sanders,Cruz,14.0
Sanders,Rubio,0.0
Cruz,Trump,702.0
Cruz,Clinton,62.0
Cruz,Sanders,19.0
Cruz,Cruz,5309.0
Cruz,Rubio,72.0
Rubio,Trump,41.0
Rubio,Clinton,16.0
Rubio,Sanders,0.0
Rubio,Cruz,25.0
Rubio,Rubio,1085.0
