has,prefers,count
Trump,Trump,31511.0
Trump,Clinton,170.0
Trump,Sanders,72.0
Trump,Cruz,606.0
Trump,Rubio,97.0
Clinton,Trump,144.0
Clinton,Clinton,4263.0
Clinton,Sanders,293.0
Clinton,Cruz,9.0
Clinton,Rubio,3.0
Sanders,Trump,133.0
Sanders,Clinton,533.0
Sanders,Sanders,9171.0
Sanders,Cruz,22.0
Sanders,Rubio,8.0
Cruz,Trump,1046.0
Cruz,Clinton,46.0
Cruz,Sanders,8.0
Cruz,Cruz,5976.0
Cruz,Rubio,39.0
Rubio,Trump,121.0
Rubio,Clinton,10.0
Rubio,Sanders,0.0
Rubio,Cruz,18.0
Rubio,Rubio,941.0
