topic,tweetid,text
benghazi,7.05E+17,"""We the people want her in jail for murder #benghazi  https://t.co/F5oXlz2pAH """
benghazi,7.05E+17,"""@bill clintontalked Trump into running to make @HillaryClinton actually look electable! #SuperTuesday #FeelTheBern #Benghazi #cnn #msnbc """
benghazi,7.05E+17,"""@Mancman10 @HatSteeds @LadyDurrant  How did we get from #Benghazi to supporting #Trump just because I question about #Clinton ? """
benghazi,7.05E+17,"""@kupo24 I agree with your assessment of #Hillary and #Benghazi, but not with your trust in #Trump. """
benghazi,7.05E+17,"""Hasn't even started on her yet! Will be delicious when he calls her out #Benghazi  #ClintonFoundation  #serverwiped https://t.co/HboKMqR0Yo """
benghazi,7.05E+17,"""Numerous #emails sent to #Clinton_Ñés private address betrayed #AmbassadorStevens_Ñé location https://t.co/ysKPIW3lZn @psycho_soprano #benghazi """
benghazi,7.05E+17,"""(IBD) Lying About #Benghazi Libya Terrorist Attack  Sole Hillary Accomplishment - https://t.co/Y7j8vNApRx  https://t.co/CK0oETP3TM 8 """
benghazi,7.05E+17,"""@Oldbikerfirst @HillaryClinton The GOP are despicable heartless lying crooked degenerates using #Benghazi its 9/11! https://t.co/9ByXvaSq2B """
benghazi,7.05E+17,""".@GOP @HillaryClinton has already been putting America at risk as did Bill. Remember bin Laden #Benghazi &amp; TS email? https://t.co/XE058PscKt """
benghazi,7.05E+17,"""If @HillaryClinton is allowed 2 skirt her responsibilities at #BENGHAZI &amp; still becomes our President SHAME on US!!! https://t.co/1fSl3VrZsQ """
benghazi,7.05E+17,"""If the GOP isn't CAREFUL @HillaryClinton could very well end up being a beneficiary of the #GOP CHAOS! Even w/#Benghazi nipping @ her heels! """
benghazi,7.04E+17,"""How absolutely sickening! #NOHILLARY #Benghazi #vetsforbernie #Veterans #Veterans4Bernie  https://t.co/YXduNWDNpM """
benghazi,7.04E+17,"""Benghazi Email Implicates Hillary in stopping #Benghazi rescue #PJNET 999 American Thinker https://t.co/LgN3sKOVkS https://t.co/BYXN38TKTv """
