supports_tag,topic,count
Clinton,clinton emails,3737
Trump,veterans,1845
Sanders,racial issues,1456
Cruz,clinton emails,1438
Sanders,women's issues (not abortion though),1418
Trump,immigration,1401
Clinton,women's issues (not abortion though),1344
Trump,clinton emails,1263
Clinton,racial issues,1223
Clinton,benghazi,1058
Trump,racial issues,868
Sanders,clinton emails,851
Cruz,abortion,845
Clinton,gun control,807
Clinton,abortion,797
Trump,benghazi,744
Trump,women's issues (not abortion though),677
Sanders,healthcare (including medicare),628
Clinton,healthcare (including medicare),609
Cruz,racial issues,607
Cruz,benghazi,598
Rubio,abortion,592
Trump,religion,575
Rubio,racial issues,572
Trump,abortion,563
Cruz,immigration,542
Cruz,religion,510
Cruz,veterans,467
Cruz,healthcare (including medicare),461
Rubio,clinton emails,461
Sanders,veterans,364
Clinton,veterans,342
Cruz,women's issues (not abortion though),323
Sanders,abortion,316
Rubio,healthcare (including medicare),310
Rubio,veterans,299
Rubio,immigration,294
Cruz,gun control,290
Clinton,religion,286
Rubio,benghazi,266
Rubio,religion,259
Sanders,gun control,259
Sanders,religion,253
Rubio,women's issues (not abortion though),209
Trump,healthcare (including medicare),206
Trump,gun control,174
Sanders,benghazi,149
Clinton,immigration,140
Sanders,immigration,130
Rubio,gun control,112
