supports_tag,topic,count
Trump,veterans,5171
Clinton,abortion,4206
Cruz,abortion,3065
Trump,obama,2989
Cruz,veterans,2477
Trump,abortion,2407
Clinton,obama,2361
Trump,women's issues (not abortion though),1960
Clinton,women's issues (not abortion though),1792
Rubio,abortion,1720
Trump,racial issues,1605
Trump,immigration,1350
Trump,religion,1347
Sanders,women's issues (not abortion though),1329
Clinton,racial issues,1311
Sanders,racial issues,1294
Clinton,benghazi,1191
Sanders,obama,1183
Cruz,women's issues (not abortion though),1115
Cruz,obama,1045
Sanders,abortion,922
Cruz,religion,920
Rubio,veterans,850
Clinton,veterans,815
Trump,benghazi,812
Trump,isis,747
Clinton,religion,639
Cruz,immigration,612
Clinton,jobs and economy,610
Cruz,racial issues,596
Cruz,benghazi,570
Rubio,women's issues (not abortion though),534
Rubio,obama,503
Sanders,jobs and economy,413
Clinton,immigration,411
Trump,jobs and economy,408
Rubio,racial issues,395
Rubio,religion,368
Sanders,religion,358
Sanders,veterans,347
Clinton,isis,343
Cruz,isis,260
Cruz,jobs and economy,197
Rubio,immigration,196
Rubio,isis,154
Sanders,isis,151
Rubio,jobs and economy,123
Rubio,benghazi,105
Sanders,immigration,103
Sanders,benghazi,84
