supports_tag,topic,count
Trump,obama,3646
Clinton,benghazi,3395
Cruz,black lives matter,2981
Cruz,benghazi,2393
Trump,black lives matter,1819
Cruz,gun control,1726
Cruz,obama,1424
Cruz,abortion,1419
Cruz,immigration,1364
Clinton,gun control,1222
Clinton,black lives matter,1101
Clinton,obama,1055
Cruz,women's issues (not abortion though),930
Sanders,benghazi,920
Trump,benghazi,884
Trump,immigration,824
Trump,women's issues (not abortion though),821
Trump,gun control,818
Sanders,gun control,756
Clinton,women's issues (not abortion though),640
Cruz,healthcare (including medicare),606
Sanders,black lives matter,586
Sanders,obama,548
Cruz,religion,524
Trump,abortion,524
Clinton,abortion,475
Cruz,isis,389
Sanders,abortion,343
Trump,religion,255
Sanders,women's issues (not abortion though),238
Trump,healthcare (including medicare),211
Trump,isis,206
Clinton,healthcare (including medicare),202
Sanders,healthcare (including medicare),173
Clinton,isis,154
Rubio,benghazi,141
Sanders,isis,135
Clinton,religion,120
Clinton,immigration,114
Sanders,religion,88
Rubio,black lives matter,82
Sanders,immigration,68
Rubio,gun control,66
Rubio,obama,61
Rubio,abortion,60
Rubio,healthcare (including medicare),44
Rubio,immigration,41
Rubio,women's issues (not abortion though),34
Rubio,isis,22
Rubio,religion,11
