supports_tag,topic,count
Sanders,racial issues,4158
Trump,immigration,3523
Trump,racial issues,3511
Trump,jobs and economy,3378
Clinton,racial issues,2839
Trump,women's issues (not abortion though),1992
Trump,israel,1970
Sanders,jobs and economy,1952
Trump,religion,1765
Sanders,socialism,1582
Clinton,jobs and economy,1515
Clinton,women's issues (not abortion though),1423
Cruz,abortion,1383
Trump,iran,1378
Cruz,religion,1325
Clinton,israel,1291
Trump,abortion,1289
Sanders,immigration,1217
Clinton,immigration,1195
Cruz,racial issues,1187
Sanders,women's issues (not abortion though),1160
Trump,benghazi,1106
Clinton,iran,1078
Sanders,israel,840
Clinton,abortion,784
Trump,socialism,760
Clinton,socialism,732
Clinton,benghazi,703
Cruz,immigration,653
Cruz,jobs and economy,561
Cruz,women's issues (not abortion though),552
Sanders,abortion,507
Sanders,religion,457
Cruz,israel,418
Clinton,religion,392
Rubio,racial issues,391
Rubio,immigration,357
Cruz,benghazi,332
Rubio,abortion,324
Cruz,iran,281
Rubio,religion,273
Rubio,women's issues (not abortion though),264
Sanders,iran,224
Rubio,jobs and economy,222
Cruz,socialism,200
Sanders,benghazi,136
Rubio,israel,117
Rubio,iran,91
Rubio,benghazi,80
Rubio,socialism,66
