supports_tag,topic,count
Clinton,benghazi,1046
Clinton,obama,563
Cruz,benghazi,499
Trump,obama,414
Cruz,gun control,366
Cruz,obama,328
Cruz,abortion,281
Trump,immigration,253
Sanders,benghazi,249
Cruz,black lives matter,236
Clinton,gun control,185
Clinton,black lives matter,176
Clinton,clinton emails,148
Sanders,gun control,146
Trump,gun control,143
Trump,benghazi,132
Trump,black lives matter,129
Cruz,women's issues (not abortion though),122
Cruz,immigration,118
Cruz,isis,116
Clinton,abortion,114
Trump,women's issues (not abortion though),111
Sanders,abortion,81
Rubio,obama,77
Clinton,women's issues (not abortion though),77
Rubio,benghazi,77
Sanders,socialism,75
Trump,isis,75
Sanders,black lives matter,72
Sanders,obama,71
Cruz,clinton emails,57
Trump,abortion,57
Clinton,isis,48
Sanders,isis,45
Clinton,immigration,42
Cruz,socialism,41
Rubio,gun control,40
Sanders,women's issues (not abortion though),32
Rubio,abortion,23
Rubio,black lives matter,21
Trump,socialism,21
Sanders,immigration,20
Clinton,socialism,19
Trump,clinton emails,18
Sanders,clinton emails,12
Rubio,socialism,12
Rubio,immigration,11
Rubio,isis,10
Rubio,women's issues (not abortion though),9
Rubio,clinton emails,5
