has,prefers,count
trump,trump,88698.0
trump,clinton,1921.0
trump,sanders,0.0
trump,cruz,2910.0
trump,rubio,233.0
clinton,trump,2875.0
clinton,clinton,20756.0
clinton,sanders,23.0
clinton,cruz,588.0
clinton,rubio,87.0
sanders,trump,906.0
sanders,clinton,4207.0
sanders,sanders,281.0
sanders,cruz,118.0
sanders,rubio,21.0
cruz,trump,7358.0
cruz,clinton,923.0
cruz,sanders,0.0
cruz,cruz,16960.0
cruz,rubio,272.0
rubio,trump,5989.0
rubio,clinton,3635.0
rubio,sanders,12.0
rubio,cruz,1440.0
rubio,rubio,2660.0
