has,prefers,count
trump,trump,46513.0
trump,clinton,421.0
trump,sanders,241.0
trump,cruz,2723.0
trump,rubio,283.0
clinton,trump,3958.0
clinton,clinton,39908.0
clinton,sanders,7650.0
clinton,cruz,1331.0
clinton,rubio,405.0
sanders,trump,1322.0
sanders,clinton,8241.0
sanders,sanders,41205.0
sanders,cruz,338.0
sanders,rubio,169.0
cruz,trump,20220.0
cruz,clinton,2502.0
cruz,sanders,1160.0
cruz,cruz,20978.0
cruz,rubio,1095.0
rubio,trump,3830.0
rubio,clinton,1546.0
rubio,sanders,969.0
rubio,cruz,1485.0
rubio,rubio,4010.0
