has,prefers,count
trump,trump,115361.0
trump,clinton,1594.0
trump,sanders,0.0
trump,cruz,2436.0
trump,rubio,435.0
clinton,trump,8589.0
clinton,clinton,20643.0
clinton,sanders,71.0
clinton,cruz,1100.0
clinton,rubio,317.0
sanders,trump,1030.0
sanders,clinton,4050.0
sanders,sanders,351.0
sanders,cruz,115.0
sanders,rubio,57.0
cruz,trump,14828.0
cruz,clinton,1711.0
cruz,sanders,7.0
cruz,cruz,20762.0
cruz,rubio,1073.0
rubio,trump,2441.0
rubio,clinton,598.0
rubio,sanders,0.0
rubio,cruz,976.0
rubio,rubio,3776.0
