has,prefers,count
trump,trump,47494.0
trump,clinton,1141.0
trump,sanders,501.0
trump,cruz,2591.0
trump,rubio,571.0
clinton,trump,1136.0
clinton,clinton,37771.0
clinton,sanders,4415.0
clinton,cruz,359.0
clinton,rubio,208.0
sanders,trump,3784.0
sanders,clinton,15439.0
sanders,sanders,50931.0
sanders,cruz,700.0
sanders,rubio,473.0
cruz,trump,5711.0
cruz,clinton,878.0
cruz,sanders,1146.0
cruz,cruz,16960.0
cruz,rubio,509.0
rubio,trump,3966.0
rubio,clinton,4737.0
rubio,sanders,1903.0
rubio,cruz,2028.0
rubio,rubio,4873.0
