has,prefers,count
trump,trump,73840.0
trump,clinton,2678.0
trump,sanders,155.0
trump,cruz,2226.0
trump,rubio,640.0
clinton,trump,6119.0
clinton,clinton,24179.0
clinton,sanders,1416.0
clinton,cruz,1163.0
clinton,rubio,340.0
sanders,trump,1015.0
sanders,clinton,4184.0
sanders,sanders,7945.0
sanders,cruz,72.0
sanders,rubio,52.0
cruz,trump,6761.0
cruz,clinton,2772.0
cruz,sanders,148.0
cruz,cruz,16973.0
cruz,rubio,672.0
rubio,trump,1536.0
rubio,clinton,346.0
rubio,sanders,65.0
rubio,cruz,358.0
rubio,rubio,2773.0
