has,prefers,count
trump,trump,60206.0
trump,clinton,1655.0
trump,sanders,601.0
trump,cruz,1765.0
trump,rubio,765.0
clinton,trump,3821.0
clinton,clinton,36575.0
clinton,sanders,5088.0
clinton,cruz,938.0
clinton,rubio,745.0
sanders,trump,846.0
sanders,clinton,5235.0
sanders,sanders,36010.0
sanders,cruz,138.0
sanders,rubio,128.0
cruz,trump,2229.0
cruz,clinton,380.0
cruz,sanders,209.0
cruz,cruz,19690.0
cruz,rubio,345.0
rubio,trump,2038.0
rubio,clinton,1051.0
rubio,sanders,747.0
rubio,cruz,885.0
rubio,rubio,7085.0
