has,prefers,count
trump,trump,124438.0
trump,clinton,2003.0
trump,sanders,2.0
trump,cruz,4252.0
trump,rubio,303.0
clinton,trump,5704.0
clinton,clinton,19791.0
clinton,sanders,49.0
clinton,cruz,976.0
clinton,rubio,135.0
sanders,trump,907.0
sanders,clinton,4076.0
sanders,sanders,251.0
sanders,cruz,74.0
sanders,rubio,33.0
cruz,trump,10695.0
cruz,clinton,1037.0
cruz,sanders,4.0
cruz,cruz,16794.0
cruz,rubio,301.0
rubio,trump,2182.0
rubio,clinton,696.0
rubio,sanders,5.0
rubio,cruz,353.0
rubio,rubio,2107.0
