has,prefers,count
trump,trump,71032.0
trump,clinton,697.0
trump,sanders,352.0
trump,cruz,1582.0
trump,rubio,987.0
clinton,trump,2769.0
clinton,clinton,25394.0
clinton,sanders,4267.0
clinton,cruz,529.0
clinton,rubio,627.0
sanders,trump,1016.0
sanders,clinton,3836.0
sanders,sanders,32790.0
sanders,cruz,173.0
sanders,rubio,318.0
cruz,trump,3867.0
cruz,clinton,567.0
cruz,sanders,455.0
cruz,cruz,20104.0
cruz,rubio,707.0
rubio,trump,6326.0
rubio,clinton,2042.0
rubio,sanders,1856.0
rubio,cruz,1026.0
rubio,rubio,8852.0
