has,prefers,count
trump,trump,27421.0
trump,clinton,1873.0
trump,sanders,264.0
trump,cruz,210.0
trump,rubio,61.0
clinton,trump,941.0
clinton,clinton,23346.0
clinton,sanders,581.0
clinton,cruz,37.0
clinton,rubio,26.0
sanders,trump,594.0
sanders,clinton,5688.0
sanders,sanders,7923.0
sanders,cruz,19.0
sanders,rubio,19.0
cruz,trump,5597.0
cruz,clinton,7189.0
cruz,sanders,2133.0
cruz,cruz,2495.0
cruz,rubio,106.0
rubio,trump,197.0
rubio,clinton,294.0
rubio,sanders,65.0
rubio,cruz,11.0
rubio,rubio,331.0
