has,prefers,count
trump,trump,75461.0
trump,clinton,3626.0
trump,sanders,2590.0
trump,cruz,2704.0
trump,rubio,815.0
clinton,trump,2695.0
clinton,clinton,32090.0
clinton,sanders,5154.0
clinton,cruz,499.0
clinton,rubio,230.0
sanders,trump,1598.0
sanders,clinton,5747.0
sanders,sanders,43081.0
sanders,cruz,175.0
sanders,rubio,150.0
cruz,trump,4476.0
cruz,clinton,717.0
cruz,sanders,445.0
cruz,cruz,16739.0
cruz,rubio,356.0
rubio,trump,2817.0
rubio,clinton,2442.0
rubio,sanders,2400.0
rubio,cruz,1369.0
rubio,rubio,4955.0
