has,prefers,count
trump,trump,43250.0
trump,clinton,1501.0
trump,sanders,363.0
trump,cruz,1163.0
trump,rubio,384.0
clinton,trump,1806.0
clinton,clinton,24918.0
clinton,sanders,1528.0
clinton,cruz,349.0
clinton,rubio,122.0
sanders,trump,702.0
sanders,clinton,2747.0
sanders,sanders,34335.0
sanders,cruz,149.0
sanders,rubio,34.0
cruz,trump,3639.0
cruz,clinton,1273.0
cruz,sanders,298.0
cruz,cruz,12833.0
cruz,rubio,303.0
rubio,trump,3201.0
rubio,clinton,774.0
rubio,sanders,323.0
rubio,cruz,517.0
rubio,rubio,2376.0
