has,prefers,count
trump,trump,49686.0
trump,clinton,987.0
trump,sanders,520.0
trump,cruz,1828.0
trump,rubio,658.0
clinton,trump,2438.0
clinton,clinton,34365.0
clinton,sanders,6299.0
clinton,cruz,549.0
clinton,rubio,532.0
sanders,trump,922.0
sanders,clinton,6176.0
sanders,sanders,37215.0
sanders,cruz,170.0
sanders,rubio,186.0
cruz,trump,5190.0
cruz,clinton,1847.0
cruz,sanders,1386.0
cruz,cruz,16496.0
cruz,rubio,841.0
rubio,trump,1138.0
rubio,clinton,500.0
rubio,sanders,372.0
rubio,cruz,281.0
rubio,rubio,5013.0
