has,prefers,count
trump,trump,69242.0
trump,clinton,5592.0
trump,sanders,2208.0
trump,cruz,6092.0
trump,rubio,2289.0
clinton,trump,2521.0
clinton,clinton,37467.0
clinton,sanders,4297.0
clinton,cruz,1296.0
clinton,rubio,470.0
sanders,trump,4942.0
sanders,clinton,12325.0
sanders,sanders,42874.0
sanders,cruz,1223.0
sanders,rubio,576.0
cruz,trump,5843.0
cruz,clinton,2864.0
cruz,sanders,1286.0
cruz,cruz,20030.0
cruz,rubio,1346.0
rubio,trump,1409.0
rubio,clinton,1317.0
rubio,sanders,569.0
rubio,cruz,917.0
rubio,rubio,4836.0
