,hashtag,count,candidate,sentiment
8740,bernieinnh,182,bern,
8742,teammarcoks,182,marco,pos
8743,asianamericansfortrump,182,trump,pos
8744,wearethebern,182,bern,
8747,oneissuebernie,182,bern,
8764,trumpisaliar,182,trump,
8767,kasichmentum,181,kasich,
8773,ok4bernie,181,bern,pos
8796,trumpf,181,trump,
8797,cruzies,181,cruz,
8813,cruz4prez,180,cruz,pos
8829,hillaryous,180,hillary,
8838,extrumper,180,trump,
8844,thinkbigberniesaid,179,bern,
8857,southcarolinaforbernie,179,bern,pos
8869,liartrump,179,trump,
8881,phillythebern,179,bern,
8888,therealbernie,178,bern,
8894,hillary_clinton,178,clinton,
8910,clintoncriminalfoundation,178,clinton,
8918,realbencarson,178,carson,
8920,chernyforbernie,177,bern,pos
8928,trumptroll,177,trump,
8930,hillaryfortx,177,hillary,pos
8934,marcosmion,177,marco,
8949,trumpparty,177,trump,
8960,trumpsupertuesday2016,176,trump,pos
8970,carsoncity,176,carson,
8975,dontvotefortrump,176,trump,pos
8978,hillarywarriors,176,hillary,
8979,tn4trump,176,trump,pos
8992,cruzinil,175,cruz,
8998,trumpisdangerous,175,trump,
9004,marcolies,175,marco,
9026,buckeyesforbernie,174,bern,pos
9030,newhampshireforbernie,174,bern,pos
9031,evangelicalsfortrump,174,trump,pos
9032,trumpurtweet,174,trump,
9034,marcobotfail,174,marco,
9053,no2cruz,174,cruz,
9065,trumpohio,173,trump,
9070,votefordonaldjtrump,173,trump,pos
9078,tedcruztheocracy,173,cruz,
9084,clintonsanders2016,173,sanders,pos
9089,santacruz,173,cruz,
9100,lightweightrubio,173,rubio,
9104,trumpleadstheway,173,trump,
9107,hellnorubio,172,rubio,
9110,rubiotherobot,172,rubio,
9113,vettingtrump,172,trump,
9116,trumpuniversitybbbrating,172,trump,
9125,idknottrumptho,172,trump,neg
9138,nomoreexcusestedcruz,172,cruz,
9146,prayformarco,172,marco,pos
9148,jebya,172,jeb,
9157,trumpthechump,171,trump,
9166,hillaryvalentines,171,hillary,
9180,marcosoft,171,marco,
9182,bernieinia,171,bern,
9214,berniecomelately,170,bern,
9235,trumpisajoke,169,trump,
9245,bernthecaucus,169,bern,
9248,comradebernie,169,bern,
9259,trumpslayer,169,trump,
9267,burnoneforbernie,169,bern,neg
9268,votehuckabee,169,huckabee,pos
9272,frankentrump,168,trump,
9286,clintonvstrump,168,trump,
9289,iacaucus4trump,168,trump,pos
9295,flforbernie,168,bern,pos
9297,trumptastic,168,trump,
9305,ambush,167,bush,
9311,saynotorubio,167,rubio,neg
9314,thingsitrustmorethanhillaryclinton,167,clinton,
9317,colonelsanders,167,sanders,
9324,presidentbernie,167,bern,
9327,hillaryiscorrupt,167,hillary,
9333,gotv4trump,167,trump,pos
9351,michigan4trump,166,trump,pos
9360,sandersbernard,166,sanders,
9363,extinguishthebern,166,bern,
9369,trumping,166,trump,
9371,votedonaldtrump,166,trump,pos
9377,farmertrump,166,trump,
9382,thingshillarygetsdone,165,hillary,
9386,trumpnado,165,trump,
9400,byebernie,165,bern,
9408,whichclinton,165,clinton,
9412,berniegnv,164,bern,
9413,bernthemedia,164,bern,
9415,trumploser,164,trump,neg
9416,berniesupporter,164,bern,
9423,bernkit,164,bern,
9450,va4trump,164,trump,pos
9452,berniecantbebought,164,bern,
9461,berniewinsmichigan,163,bern,pos
9466,berniefacts,163,bern,
9473,trumpscrewedvets,163,trump,neg
9475,sanderslittlehelpers,163,sanders,
9478,floridalovesrubio,163,rubio,pos
9490,cruzphotoshop,163,cruz,
9513,bernbots,162,bern,
9515,cruzvoters,162,cruz,pos
9521,awaystrump,162,trump,
9522,hillarybots,162,hillary,
9528,hillaryappointsobama,162,hillary,
9530,gotrump2016,162,trump,pos
9543,presidenthillary,161,hillary,
9550,cruzcrew2016,161,cruz,pos
9552,cruzwilllose,161,cruz,
9573,trumptheconartist,161,trump,
9577,youhavemyvotemrtrump,161,trump,pos
9579,marchforbernienyc,161,bern,pos
9608,millionbricks4trump,160,trump,pos
9655,cruzrising,159,cruz,
9659,boomersforbernie,159,bern,pos
9665,laterdonaldtrump,159,trump,
9670,trump2015,159,trump,
9675,berniemarchedwithking,158,bern,
9681,fl4trumpdotcom,158,trump,pos
9693,yiaytrump,158,trump,
9701,republicansagainsttrump,158,trump,
9721,trumpedup,157,trump,
9724,tedcruzisasnakebecause,157,cruz,
9736,votetrumpal,157,trump,pos
9740,trump4vet,157,trump,pos
9750,truckersfortrump,157,trump,pos
9753,winteristrumping,157,trump,pos
9756,imwatchingtrump,157,trump,
9761,presidenttrump2016,157,trump,pos
9768,babesforbernie,156,bern,pos
9775,votetrumpva,156,trump,pos
9783,veterans4bernie,156,bern,pos
9790,trumpchump,156,trump,
9792,hillary2011,156,hillary,
9797,aaforhillary,155,hillary,pos
9825,upliketrump,155,trump,
9835,notimpressedwithbern,155,bern,neg
9844,cruzcreepy,155,cruz,neg
9851,hillaryintampa,154,hillary,
9852,demagoguetrump,154,trump,
9857,morningtrump,154,trump,
9867,cruzmaniac,154,cruz,
9881,researchhillary,154,hillary,
9883,trumpfoundation,154,trump,
9894,methheadrubio,153,rubio,
9905,dontfeelthebern,153,bern,
9906,trumptrash,153,trump,
9921,drcarson,153,carson,
9927,vettinghillary,153,hillary,
9928,cruzarmy,153,cruz,
9930,trumpcountry,153,trump,
9946,peopleforbernie,152,bern,pos
9954,teammarcomi,152,marco,pos
9956,cruztwitterteam,152,cruz,pos
9959,friendofbernie,152,bern,
9961,thinkbeforeutrump,152,trump,pos
9962,hillaryfracks,152,hillary,
9967,nvfortrump,152,trump,pos
9977,bernienomics,152,bern,
9987,mississippiforbernie,152,bern,pos
9988,trump20never,152,trump,neg
10001,notedcruz,151,cruz,neg
10009,hillarysucks,151,hillary,
10016,trumpeters,151,trump,
10034,trumpmeltdown,151,trump,
10049,trumpevangelicals,150,trump,
10066,thishillary,150,hillary,
10068,manofthepeoplecruz,150,cruz,
10073,georgehwbush,150,bush,
10074,cruzwatch,150,cruz,
10089,menforhillary,150,hillary,pos
10099,cruzrubio16,149,rubio,
10114,cantstumptrump,149,trump,
10129,texas4bernie,149,bern,pos
10151,creeprubio,148,rubio,
10158,maketrumpdrumpfagain,148,trump,neg
10162,trumpwinsnevada,148,trump,pos
