,hashtag,count,candidate,sentiment
12838,trumpuniverity,106,trump,
12839,trumpie,106,trump,
12843,votetrumpforpresident2016,106,trump,pos
12849,jew4trump,106,trump,pos
12855,trump2,106,trump,
12857,sanderssucks,106,sanders,
12858,berniewinsiowa,106,bern,pos
12878,cruzflattax,105,cruz,
12881,clintonrally,105,clinton,
12884,votetrumppr,105,trump,pos
12885,bernieinokc,105,bern,
12892,tiobernie,105,bern,
12895,cantbuybernie,105,bern,
12900,votetrumpaz,105,trump,pos
12901,bernieinma,105,bern,
12917,okforbernie,105,bern,pos
12920,whyichoosetrump,105,trump,pos
12921,coforbernie,105,bern,pos
12925,nospecificsbernie,105,bern,
12934,trumpboasts,105,trump,
12937,feeltheberniowa,105,bern,
12940,emubern,105,bern,
12947,pimpingforbernie,104,bern,pos
12957,michiganforberniesanders,104,sanders,pos
12958,cruzing,104,cruz,
12972,trump2win2016,104,trump,pos
12984,feelthebern_,104,bern,
12989,voteformarco,104,marco,pos
12993,berniesrevolution,104,bern,
13001,cultoftrump,104,trump,
13005,stumpthetrump,104,trump,
13016,trump4prezident,104,trump,pos
13024,puertoricofortrump,104,trump,pos
13034,trumpzombies,104,trump,
13036,voteclinton,104,clinton,pos
13046,sandersisafraud,103,sanders,neg
13054,kasichdropout,103,kasich,neg
13066,with_cruz_you_lose,103,cruz,
13070,supertrump,103,trump,
13071,florida4bernie,103,bern,pos
13075,votetrumpnhprimary,103,trump,pos
13081,nodonaldwetrusttedcruz,103,cruz,
13099,berniephonebank,103,bern,
13111,trumppotus,103,trump,
13115,citizensbernited,103,bern,
13132,funnyordietrump,103,trump,
13170,trumpforveterans,102,trump,pos
13176,tedcruzsucks,102,cruz,
13188,berni,102,bern,
13190,rubiocruz2016,102,rubio,pos
13191,hillaryisobama,102,hillary,
13197,minoritiesforbernie,102,bern,pos
13216,bernunit,102,bern,
13217,trumpyoga,102,trump,
13218,stealingthebern,102,bern,
13219,senatorcruz,102,cruz,
13224,puppetrubio,102,rubio,
13232,trumpintampa,102,trump,
13251,votetrumpwh2016,101,trump,pos
13259,lovethebern,101,bern,pos
13263,trumpcarson,101,carson,
13274,worldforbernie,101,bern,pos
13279,vote4tedcruz,101,cruz,pos
13284,trumptowers,101,trump,
13290,bernieforus,101,bern,pos
13296,bernalert,101,bern,
13306,votekasich,100,kasich,pos
13312,ms4bernie,100,bern,pos
13336,hillarywon,100,hillary,
13347,billclintonrapes,100,clinton,
13353,voteforrubio,100,rubio,pos
13370,ivotetrump,100,trump,pos
13376,trumpisaclown,100,trump,
13377,stopclinton,100,clinton,neg
13384,clintonwasimpeached,100,clinton,
13386,trumpsachump,100,trump,
13393,whatdoyoubernfor,99,bern,pos
13410,tenforbernie,99,bern,pos
13411,berniebullies,99,bern,
13415,americacoasttocoastvotetrump,99,trump,pos
13418,noonebuttrump,99,trump,
13432,carsonblackout,99,carson,
13436,flatlinemarco,99,marco,
13439,democratsforrubio,99,rubio,pos
13442,absolutelytrump,99,trump,
13444,rubiochannel,99,rubio,
13450,wetrustbernie,99,bern,
13461,blackwomen4bernie,99,bern,pos
13463,bernie201,99,bern,
13464,millennialsforcruz,99,cruz,pos
13465,berniesanderstrapmusic,99,sanders,
13489,foxneedstrump,99,trump,
13492,liarhillary,99,hillary,
13493,trumpisacoward,99,trump,
13494,trumpuspelling,99,trump,
13506,coolthebern,98,bern,
13525,veteransforrubio,98,rubio,pos
13531,bushdid911,98,bush,
13533,trumpstaxes,98,trump,
13534,cruzfiorina2016,98,fiorina,pos
13552,bernienation,98,bern,
13571,marcollapse,98,marco,
13580,howtovoteforbernie,97,bern,pos
13581,liberalsfortrump,97,trump,pos
13584,hillarymillennials,97,hillary,
13607,phone4bernie,97,bern,pos
13614,trumpdeaththreats,97,trump,
13622,defeathillary,97,hillary,
13626,hillarytrump,97,trump,
13633,therealhillary,97,hillary,
13634,christiansforbernie,97,bern,pos
13635,trumpvsestablishment,97,trump,
13639,ilovehillary,97,hillary,pos
13650,trumplove,97,trump,pos
13654,nodonaldtrump,97,trump,
13655,trumpcruz,97,cruz,
13656,nomarcowetrusttedcruz,97,marco,
13660,cruzcon,97,cruz,
13663,marcomeltdown,97,marco,
13666,trumptydumpty,97,trump,neg
13668,notobernie,97,bern,neg
13670,lovedescribesthebern,96,bern,pos
13673,miamiforbernie,96,bern,pos
13674,hillaryclintonforpresident,96,clinton,pos
13678,bernierepublicans,96,bern,
13690,nomarco,96,marco,
13692,hillarynewhampshireexcuses,96,hillary,
13699,hillarywithdraw,96,hillary,
13718,cruzc,96,cruz,
13730,trump4pre,96,trump,pos
13738,bernieslap,96,bern,
13741,bernierevolution,96,bern,
13759,howmanybernbots,96,bern,
13783,hillarywho,95,hillary,
13791,sharethebern,95,bern,
13792,berningman,95,bern,
13794,bernieneedsyou,95,bern,
13798,dropoutcarson,95,carson,neg
13802,trumpathetic,95,trump,neg
13806,senatorsanders,95,sanders,
13823,berniesowhite,95,bern,
13825,trumptemptations,95,trump,
13826,bernthatfirewalldown,95,bern,
13832,esandersapp,95,sanders,
13846,trump1016,95,trump,
13863,hillaryinhrva,95,hillary,
13864,bootytrump,95,trump,
13883,penelopecruz,94,cruz,
13886,hillaryvstrump,94,trump,
13892,untrumptheplex,94,trump,
13898,trumpcnn,94,trump,
13914,heartbern,94,bern,
13917,bostonforbernie,94,bern,pos
13922,bernone,94,bern,
13925,dontvotehillary,94,hillary,pos
13935,trumpinhistory,94,trump,
13937,unelectablehillary,94,hillary,
13941,stopdonaldtrump,94,trump,neg
13970,onlytedcruz,94,cruz,
13977,hillaryemailscandal,93,hillary,
13981,cruz4president,93,cruz,pos
13982,cruzin2victory,93,cruz,pos
13985,trumprocks,93,trump,
13988,beardsforbernie,93,bern,pos
14015,nevertrumpjoinmarco,93,marco,neg
14016,hillarymath,93,hillary,
14026,nevertedcruz,93,cruz,neg
14031,cruze,93,cruz,
14036,vetsforrubio,93,rubio,pos
14038,stopthebern,93,bern,neg
14058,trump21016,93,trump,
14064,alwaystrumpalwaysamerica,93,trump,
14070,phonebank4bernie,93,bern,pos
14073,iamaberniebro,93,bern,
14078,carsonrising,93,carson,
14080,reladonaldtrump,93,trump,
14091,berniesandersbrigade,92,sanders,
14093,marcomistakes,92,marco,
14101,hillaryclintons,92,clinton,
14105,people4bernie,92,bern,pos
14113,clinton45,92,clinton,pos
14127,berniebabies,92,bern,
14131,bernoutoftouch,92,bern,
14149,rubiotherino,92,rubio,
14150,moveasidemarco,92,marco,
14159,onlyrubio,92,rubio,
14172,jebbushlies,92,bush,
14173,hillaryfornewhampshire,92,hillary,pos
14174,hillaryliesfor13minutes,92,hillary,pos
14177,berniedems,92,bern,
14179,carolinasforcruz,92,cruz,pos
14181,bernieforthewin,92,bern,pos
14188,colorthebern,92,bern,
14210,tedcruzrocks,91,cruz,
14216,hillaryfornv,91,hillary,pos
14222,thetrumpeffect,91,trump,
14237,fakechristiantedcruz,91,cruz,
14242,trump2017,91,trump,
14248,bernieinoh,91,bern,
14253,idratherbern,91,bern,
14263,santacruztech,91,cruz,
14266,trumplicans,91,trump,
14275,recallchristie,91,christie,
14284,trumplican,91,trump,
14302,trumpanzees,91,trump,
14303,trumpinnh,91,trump,
14307,bernieforthepeople,91,bern,pos
14309,bernstorm,91,bern,
14312,marcobeg2differ,90,marco,
14314,donatebernie,90,bern,
14321,notohillary,90,hillary,neg
14328,doctorsforhillary,90,hillary,pos
14337,teammarconh,90,marco,pos
14343,trumpisaracist,90,trump,
14352,sanderswarren,90,sanders,
14353,abstaintrump,90,trump,
14382,bushdynasty,90,bush,
14385,neforbernie,90,bern,pos
14387,erinsanders,90,sanders,
14399,hillaryformn,90,hillary,pos
14405,trumptrian,90,trump,
14411,fucktrump2016,90,trump,pos
14412,killaryclinton,90,clinton,
14413,hillaryfraud,90,hillary,neg
14422,seniors4bernie,90,bern,pos
14432,brits4bernie,90,bern,pos
14434,cheatercruz,90,cruz,
14445,corruptclinton,89,clinton,
14454,donaldtrumplovetrain,89,trump,pos
14455,quidproquobernie,89,bern,
14458,cruzcew,89,cruz,
14464,berniesandersdankmemestash,89,sanders,
14470,snlracistsfortrump,89,trump,pos
14476,kasichforus,89,kasich,pos
14494,cruzio,89,cruz,
14509,scforcruz,89,cruz,pos
14513,rubiofraud,89,rubio,neg
14514,toptrumps,89,trump,
14529,dumplittlemarco,89,marco,neg
14535,berniefam,89,bern,
14546,fredtrump,88,trump,
14555,uniteforcruz,88,cruz,pos
14556,rubiosucks,88,rubio,
14569,bernieiniowa,88,bern,
14572,feminists4bernie,88,bern,pos
14573,cruzsleaze,88,cruz,
14578,trumpviolence,88,trump,
14579,dumbtrump,88,trump,neg
14582,cruzship,88,cruz,
14583,teamtrumpiowa,88,trump,pos
14585,allwaystrump,88,trump,
14592,byemarco,88,marco,
14603,grandmothersforhillary,88,hillary,pos
14617,whichhillarys,88,hillary,
14627,imnotkiddinghillary,88,hillary,neg
14630,bernieproblems,88,bern,
14631,americaneedstrump,88,trump,
14637,texansforhillary,88,hillary,pos
14648,heymarco,88,marco,
14655,trumpucourses,88,trump,
14656,tennesseefortrump,88,trump,pos
14674,berniemac,87,bern,
14678,gators4hillary,87,hillary,pos
14686,trumptantrums,87,trump,
14692,cruzcalifornia,87,cruz,pos
14701,trumpspeak,87,trump,
14703,texasiscruzcountry,87,cruz,
14706,nvcaucus4trump,87,trump,pos
14709,marcolied,87,marco,
14710,alwaystrumpt,87,trump,
14724,va4bernie,87,bern,pos
14726,womenforsanders,87,sanders,pos
14729,feeldatbern,87,bern,
14731,hillarycointoss,87,hillary,
14732,teamjeb,87,jeb,pos
14738,1millionberniesigns,87,bern,
14797,bernieinco,86,bern,
14809,trumpites,86,trump,
14812,rallyforsanders,86,sanders,pos
14836,cruzs,86,cruz,
14844,wedontwantbernierevolution,86,bern,
14850,hillaryisaliar,86,hillary,
14854,womanforbernie,86,bern,pos
14861,blacksforbernie,86,bern,pos
14866,christiechristopherj,86,christie,neg
14869,trumpshow,86,trump,
14889,timefortrump,86,trump,pos
14895,saynotobernie,86,bern,neg
14907,minorities4bernie,85,bern,pos
14915,trumploses,85,trump,
14922,cruzrally,85,cruz,
14926,voteearlyvotetrump,85,trump,pos
14927,trumpistan,85,trump,
14944,sanders16,85,sanders,
14961,ted_cruz,85,cruz,
14964,trumptoday,85,trump,
14967,actualhumantedcruz,85,cruz,
14969,donaldtrumpspenisis,85,trump,
14979,votefortrump2016,85,trump,pos
14983,trumpzilla,85,trump,
15004,berniethreewordstory,85,bern,
15006,crazycruz,85,cruz,
15014,marcoamnestyrubio,85,rubio,
15016,veteransforcruz,84,cruz,pos
15035,heilhillary,84,hillary,
15047,bantrump,84,trump,
15058,adolftrump,84,trump,
15072,trumpettoni,84,trump,
15073,sinkingcruz,84,cruz,
15079,hillary4nominee,84,hillary,pos
15081,rubioruse,84,rubio,
15093,berniespring,84,bern,
15094,lyingbernie,84,bern,
15095,independentsforbernie,84,bern,pos
15097,trumpwho,84,trump,
15118,thetrumprevolution,84,trump,
15119,thatsourbernie,84,bern,
15122,ohio4bernie,84,bern,pos
15129,hillarysupporters,84,hillary,
15138,winwithbernie,83,bern,pos
15146,trumphasasmalldick,83,trump,
15159,berniepanders,83,bern,
15169,americansforcruz,83,cruz,pos
15171,clintonfamilyvalues,83,clinton,
15177,lyinghillary,83,hillary,
15179,jews4cruz,83,cruz,pos
15186,militaryneedstrump,83,trump,
15230,trumpwon,83,trump,
15232,amnestywhorerubio,83,rubio,
15247,nccruzcrew,83,cruz,pos
15254,deporttrump,83,trump,
15259,trumppenis,82,trump,
15280,trumpsarmy,82,trump,
15288,coalescetocruz,82,cruz,
15292,tantrump,82,trump,
15297,trumpettes,82,trump,
15301,misshillary,82,hillary,
15312,tastethebern,82,bern,
15316,rubiomentum,82,rubio,
15325,trumpuscam,82,trump,
15347,puertoricans4trump,82,trump,pos
15354,northwestfortrump,82,trump,pos
15368,nhvotetrump,82,trump,pos
15374,dallasbern,82,bern,
15376,hillarykkklinton,82,hillary,
15380,trumpfolks,81,trump,
15381,operationtrumpline,81,trump,
15400,trumpadump,81,trump,neg
15412,atlbernsitup,81,bern,
15418,christians4trump,81,trump,pos
15421,trump20never101,81,trump,neg
15425,rinotrump,81,trump,neg
15445,no2trump,81,trump,
15446,clintoncheating,81,clinton,
15462,somosbernie,81,bern,
15470,cruzfiorina,81,fiorina,
15484,jabbatrump,81,trump,
15515,trumpsteak,81,trump,
15520,ga4bernie,81,bern,pos
15522,bernietinesday,81,bern,
15523,feelingberned,81,bern,
15527,trumpageddon,81,trump,
15537,copsfortrump,80,trump,pos
15556,trumpisnotracist,80,trump,neg
15571,marcorubioisanidiot,80,rubio,neg
15579,marcopolo,80,marco,
15582,fundthebern,80,bern,
15599,trumpfans,80,trump,
15600,hillaryanxiety,80,hillary,
15601,bootthebern,80,bern,
15632,trumpt,80,trump,
15642,helloverhillary,80,hillary,pos
15650,greatwalloftrump,80,trump,
15652,trumptrump,80,trump,
15658,lovenvtrumpvoters,80,trump,pos
15661,berniescomplaint,80,bern,
15665,warrenforbernie,79,bern,pos
15670,trumprevolution2016,79,trump,pos
15675,hillaryfrackingclinton,79,clinton,
15679,trumpvalues,79,trump,
15691,trumpado,79,trump,
15692,adolphtrump,79,trump,
15695,westandwithtrump,79,trump,pos
15706,ihatetrump,79,trump,
15707,anygopbuttrump,79,trump,
15721,hillaryfornevada,79,hillary,pos
15726,cruzcampaign,79,cruz,
15727,maybetrump,79,trump,
15730,whytrump,79,trump,
15733,trumpamuthufuckingpoo,79,trump,
15740,cruzcrews,79,cruz,pos
15771,honestbernie,79,bern,
15788,unidosconhillary,79,hillary,
15793,marorubio,79,rubio,
15800,trumpconartist,78,trump,
15804,nativesforbernie,78,bern,pos
15825,artistsforberniesanders,78,sanders,pos
15833,hillaryswar,78,hillary,
15859,afrikaforhillaryc,78,hillary,pos
15867,trumpenfuhrer,78,trump,
15870,cruzmissile2016,78,cruz,pos
15885,trump1237,78,trump,
15900,dropoutbernie,78,bern,neg
15909,clintonkissinger,78,clinton,
15911,trumpcircus,78,trump,
15929,bernieforamerica,77,bern,pos
15930,twofacetrump,77,trump,
15947,trumpvine,77,trump,
15956,shitberniesays,77,bern,
15959,trumpstrategy,77,trump,
15962,unitedfortrump,77,trump,pos
15975,iaintfeelingnobern,77,bern,
15981,casteyourvoteforbernie,77,bern,pos
15986,christies,77,christie,
15995,canttrusttrump,77,trump,
15998,trusttrump,77,trump,
16000,bernie4peace,77,bern,pos
16009,ninafeelsthebern,77,bern,
16012,wealllaughattrump,77,trump,
16014,iendorsebencarson,77,carson,
16017,massforhillary,77,hillary,pos
16030,trumpeduppersonality,77,trump,
16039,trumptriumph,77,trump,
16053,falsecnncarsonnews,77,carson,
16059,youmightbeacruzsupporter,77,cruz,
16068,trumpwinsc,77,trump,pos
16086,clintonsocorrupt,76,clinton,
16087,cruzgoodchoice,76,cruz,
16102,oregonambush,76,bush,
16111,bernie4million,76,bern,pos
16112,feedthebern,76,bern,
16113,trumptheposer,76,trump,
16133,enjoythefruitsofthetrumpuprsing,76,trump,
16137,whyiamnotvotingforhillary,76,hillary,neg
16146,trumpbible,76,trump,
16150,maketrumphireamericans,76,trump,
16162,racistsexistdemagoguetrump,76,trump,
16165,staywithbernie,76,bern,
16167,trumpbaby,76,trump,
16174,berniefail,76,bern,
16177,hillaryunelectable,76,hillary,
16181,whatberniesaid,76,bern,
16201,writeinmarco2016,76,marco,pos
16213,bernwarren,76,bern,
16225,donaldtrumpsucks,76,trump,
16236,trumpculture,75,trump,
16238,rubiokasich2016,75,kasich,pos
16250,trumpinsc,75,trump,
16268,carsonators,75,carson,
16286,nana4bernie,75,bern,pos
16294,trumpthecramps,75,trump,
16299,littlejebbie,75,jeb,
16302,madworldofdonaldtrump,75,trump,
16324,feelthecrashandbern,75,bern,
16325,blackfolks4trump,75,trump,pos
16327,bernmentum,75,bern,
16343,ichoosecruz,75,cruz,pos
16344,iloveyouhillary,75,hillary,pos
16362,losewithcruztx,75,cruz,
16367,dictatorapprenticetrump,75,trump,
16371,trumpitup2016,75,trump,pos
16379,trumppressconference,74,trump,
16413,berniebabes,74,bern,
16416,nevada4bernie,74,bern,pos
16421,bernietaxi,74,bern,
16422,onetrickbernie,74,bern,
16439,oh4trump,74,trump,pos
16444,africanamericansforbernie,74,bern,pos
16445,arkansasforbernie,74,bern,pos
16446,tedcruzlookslike,74,cruz,
16448,trumphumpers,74,trump,
16450,thanksbernie,74,bern,
16479,ilovebernie,74,bern,pos
16501,notocruz,74,cruz,neg
16506,carsonbeatcruz,74,carson,
16511,hillaryhasaplan,74,hillary,
16512,ripbernie,74,bern,
16513,conservativesagainsttrump,74,trump,
16543,clintoncampaign,73,clinton,
16551,berniebeatstrump,73,bern,
16563,shameontrump,73,trump,
16583,trumpcaucus,73,trump,
16588,trumptime,73,trump,
16592,vote4bernei,73,bern,pos
16598,liberalconmantrump,73,trump,
16604,marcobot3000,73,marco,
16605,presidentberniesanders,73,sanders,
16628,cruzyourefired,73,cruz,
16636,cruzcruz,73,cruz,
16651,marcorubiofraud,73,rubio,neg
16657,berndown4what,73,bern,pos
16665,harlemfortrump,73,trump,pos
16670,warmongerhillary,73,hillary,
16678,rubiogetout,73,rubio,
16686,hclinton,73,clinton,
16688,moms4trump,73,trump,pos
16691,bernersunite,73,bern,pos
16705,marcon,73,marco,
16712,trumppeepgroup,72,trump,
16739,hillaryc,72,hillary,
16742,dreamersforhillary,72,hillary,pos
16744,jebby,72,jeb,
16748,coachesfortrump,72,trump,pos
16759,bernierocks,72,bern,
16769,askhillary,72,hillary,
16771,cruzgrassroots,72,cruz,
16772,tedcruz4canada,72,cruz,pos
16788,firetrump,72,trump,
16789,liberaltrump,72,trump,
16797,sanderssurge,72,sanders,
16802,cruzspiracy,72,cruz,
16808,abroadforhillary,72,hillary,pos
16826,nevercarson,72,carson,neg
16831,berniedemocrats,72,bern,
16833,thechristierecord,72,christie,
16834,weloveyoubernie,72,bern,pos
16840,trumpisaleftist,72,trump,
16843,clintoncriminal,72,clinton,
16844,caucasforbernie,72,bern,pos
16847,evertrump,72,trump,
16848,trumpvodka,72,trump,
16850,votetrumpnmi,72,trump,pos
16852,burnersforbernie,72,bern,neg
16861,nevertrumpers,71,trump,neg
16866,liarrubio,71,rubio,
16867,cnntrump,71,trump,
16873,sorryjeb,71,jeb,
16874,oh4bernie2016,71,bern,pos
16876,ourbernie,71,bern,
16878,tweet4bernie,71,bern,pos
16898,vote4jeb,71,jeb,pos
16949,cruztrumpdebate,71,cruz,
16954,thetrumppuppet,71,trump,
16985,bullytrump,71,trump,
16987,feeltherbern,71,bern,
16993,canvass4bernie,71,bern,pos
16995,rubiofail,71,rubio,
17009,hillaryisafraud,71,hillary,neg
17012,christieendorsestrump,71,christie,
17018,notcruz,70,cruz,neg
17023,forresttrump,70,trump,pos
17037,endorsetrump,70,trump,
17055,clintonscandals,70,clinton,
17066,donaldtrumptownhall,70,trump,
17068,nv4hillary,70,hillary,pos
17072,movinlikebernie,70,bern,
17074,trumpnationrising,70,trump,
17076,rubiotherepeater,70,rubio,
17081,tedcruzinsult,70,cruz,
17085,youmightbeasanderssupporter,70,sanders,
17094,smartamericansvotetrump,70,trump,pos
17101,feelthrbern,70,bern,
17103,shameoncruz,70,cruz,
17104,barrysanders,70,sanders,
17110,trumpvsrubio,70,rubio,
17113,frackinghillary,70,hillary,
17119,tampafortrump,70,trump,pos
17127,cruztrain,70,cruz,pos
17132,trumpalltheway,70,trump,
17140,marchforhillary,70,hillary,pos
17142,fuckhillaryclinton,70,clinton,
17179,hillaryclintonforpresident2016,69,clinton,pos
17183,votefortedcruz,69,cruz,pos
17184,trumpwomen,69,trump,
17202,clintondirtytricks,69,clinton,
17210,floridaforrubio,69,rubio,pos
17214,chicagofortrump,69,trump,pos
17220,trumpisanidiot,69,trump,neg
17226,cruz2026,69,cruz,
17234,dontvotetrump2016,69,trump,pos
17236,hillarynever,69,hillary,neg
17240,cruz2016poll,69,cruz,pos
17241,bern2016,69,bern,pos
17245,clintoninc,69,clinton,
17254,nevertrumps,69,trump,neg
17264,cruzconservative,69,cruz,
17273,cruzrubio2020,69,rubio,
17280,trumpeteers,69,trump,
17285,nc4bernie,69,bern,pos
17290,canuckcruz,69,cruz,
17293,trumpocrisy,69,trump,
17301,itrustbernie,69,bern,
17302,rubio2028,69,rubio,
17305,stopbernie,69,bern,neg
17313,cruzulose,69,cruz,
17319,bermiesanders,69,sanders,
17325,georgia4trump,69,trump,pos
17326,fuckclinton,69,clinton,
17328,ihearthillary,69,hillary,
17331,trumpcoma,69,trump,
17340,benghazihillary,69,hillary,
17344,marcorobo,69,marco,
17348,hitlertrump,69,trump,
17351,iowaforhillary,69,hillary,pos
17352,harlem4trump,69,trump,pos
17361,feminist4bernie,68,bern,pos
17363,feelberned,68,bern,
17378,cruz2lose,68,cruz,
17391,donaldtrumpvictory,68,trump,pos
17399,fraudtrump,68,trump,neg
17400,getoutmarco,68,marco,
17408,puertorico4bernie,68,bern,pos
17410,hillaryforjail2016,68,hillary,pos
17415,gazeboforsanders,68,sanders,pos
17423,abandonthesinkingcruzship,68,cruz,
17433,bernieinohio,68,bern,
17437,berniesourceslove,68,bern,pos
17450,idontfeelthebern,68,bern,
17457,bringthebern,68,bern,
17460,trumpsoproud,68,trump,
17470,idknottrumptho2016,68,trump,neg
17472,trumpisabully,68,trump,
17474,trumpstorm,68,trump,
17475,oklahomaforbernie,68,bern,pos
17482,trumpy,68,trump,
17493,bushfamilyties,68,bush,
17512,students4carson,68,carson,pos
17515,trumplings,67,trump,
17521,trumpisms,67,trump,
17525,hillaryclintonemails,67,clinton,
17527,ithinkthereforeibern,67,bern,pos
17534,winberniewin,67,bern,pos
17548,carsonfortrump,67,carson,pos
17554,trumpcloset,67,trump,
17557,trumpbadforamerica,67,trump,pos
17559,boston4bernie,67,bern,pos
17562,wast4trump,67,trump,pos
17564,withcruzwelose,67,cruz,
17568,unitecruz,67,cruz,pos
17592,bushie,67,bush,
17595,cruzio2016,67,cruz,pos
17617,trumpsaracist,67,trump,
17618,trumpneverwins,67,trump,neg
17619,alwayskasich,67,kasich,
17627,trumpwilltriumph,67,trump,
17639,therealtrump,67,trump,
17642,trumpcarson2016,67,carson,pos
17647,hillaryvoters,67,hillary,pos
17712,cruzeffect,66,cruz,
17713,carsonnotquitting,66,carson,neg
17716,hillaryliar,66,hillary,
17734,welovebernie,66,bern,pos
17737,smallhandstrump,66,trump,
17743,trumpunstoppablenow,66,trump,neg
17749,trumpville,66,trump,
17752,trump4us,66,trump,pos
17753,callclintonout,66,clinton,
17756,bostonbernparty,66,bern,
17757,disavowtrump,66,trump,
17768,presdidenttrump,66,trump,
17783,trumpmoraldisgrace,66,trump,
17785,trumpdrone,66,trump,
17788,tonetrumpapp,66,trump,
17789,inberniewetrust,66,bern,
17791,dogsfortrump,66,trump,pos
17792,superhillary,66,hillary,
17793,nocarson,66,carson,
17799,gobluegohillary,66,hillary,
17805,thetrumpstate,66,trump,
17808,turdcruz,66,cruz,
17809,michiganforhillary,66,hillary,pos
17810,chameleonhillary,66,hillary,
17812,prayfortrump,66,trump,pos
17813,barkhillary,66,hillary,
17823,vetsforcruz,66,cruz,pos
17835,bernieworking4theblackvote,66,bern,pos
17837,noclintons,66,clinton,
17847,godblesstrump,66,trump,
17854,berninup,65,bern,
17859,tempertantrump,65,trump,
17860,askbernie,65,bern,
17864,trumpevil,65,trump,
17866,kidsforbernie,65,bern,pos
17879,notpresidenthillaryever,65,hillary,neg
17885,berniespeaks4me,65,bern,pos
17893,clintoncenter,65,clinton,
17895,bernienotoligarchs,65,bern,neg
17910,impeachtrump,65,trump,
17933,trumptrumptrump,65,trump,
17944,dictatortrump,65,trump,
17954,trumpbridge,65,trump,
17957,timetogorubio,65,rubio,
17963,hillarybarks,65,hillary,
17969,berniesrecord,65,bern,
17993,directactionforbernie,65,bern,pos
18007,flipflophillary,65,hillary,
18014,hillarysvoiceisourvoice,65,hillary,
18015,donaldtrumpjr,65,trump,
18019,byebyemarco,65,marco,
18023,runbernierun,65,bern,
18032,bernietellstruth,65,bern,
18053,clintonswaronwomen,65,clinton,
18054,nevervotetrump,65,trump,neg
18060,hilaryclintonforpresident,65,clinton,pos
18061,donaldtrumpfanart,65,trump,
18063,blockhillaryvoters,65,hillary,neg
18068,trumpdemocrats,65,trump,
18073,trumphitler,65,trump,
18074,cruzcollapse,64,cruz,
18081,bernietolittleshop,64,bern,
18094,hillaryprison2016,64,hillary,neg
18104,bernieorjill,64,bern,
18105,marco_rubio,64,rubio,
18110,bankrupt4bernie,64,bern,pos
18112,exposetrump,64,trump,
18131,cruzaders,64,cruz,
18132,trumpforever,64,trump,pos
18135,tedcruzgrassroots,64,cruz,
18136,jointedmarco,64,marco,
18151,vivacruz,64,cruz,
18155,keepberning,64,bern,
18171,bernie4potus,64,bern,pos
18172,rubioroboto,64,rubio,
18177,anybodybutclinton,64,clinton,
18186,tedcruz4president2016,64,cruz,pos
18191,kidsagainsttrump,64,trump,
18193,babybush,64,bush,
18198,neitherclintonnortrump,64,trump,
18201,hillarywallst,64,hillary,
18222,trumpvet,64,trump,
18235,thathillary,64,hillary,
18238,trumplouisville,64,trump,
18239,berningdownthehouse,64,bern,
18243,trumpfatigue,64,trump,
18244,trumprefugees,64,trump,
18246,cruzvoter,64,cruz,pos
18248,berniewinsonissues,64,bern,pos
18254,laborforhillary,64,hillary,pos
18256,trumpfollowers,64,trump,
18257,teachersfortrump,64,trump,pos
18259,bush41,64,bush,pos
18260,clintongmo,64,clinton,
18265,marcolubio,64,marco,
18277,uncertaintrumpet,64,trump,
18286,trumpar,64,trump,
18313,sentortedcruz,63,cruz,
18320,bernthewitch,63,bern,
18321,trumpcultists,63,trump,
18326,millivanillihillary,63,hillary,
18345,cbcpachillaryendorsement,63,hillary,
18356,trumpbase,63,trump,
18359,myhillary,63,hillary,
18360,trumptweets,63,trump,
18368,sandersfordemocratic,63,sanders,pos
18374,lovetrumpshatred,63,trump,pos
18392,healthcare4bernie,63,bern,pos
18405,istandwithbernie,63,bern,pos
18419,hillaryshenanigans,63,hillary,
18420,damnitfeelsgoodtobeaclinton,63,clinton,
18422,trumpateers,63,trump,
18430,womenberninginhell,63,bern,
18431,trumpsaloser,63,trump,neg
18445,byetrump,63,trump,
18453,inmatesforhillary,63,hillary,pos
18455,trumpdumped,63,trump,neg
18457,bernie2106,63,bern,
18459,deceitfulcruz,63,cruz,
18488,iopsanders,62,sanders,
18490,tulsaforbernie,62,bern,pos
18492,bernieforpotus,62,bern,pos
18497,hillaryforoh,62,hillary,pos
18512,nctrumpendorsers,62,trump,
18524,noussommesbernie,62,bern,
18528,bernielogic,62,bern,
18531,micruzcrew,62,cruz,pos
18534,rubioisasnakebecause,62,rubio,
18540,trumpcon,62,trump,
18547,rubiofoamparty,62,rubio,
18551,trumpinorlando,62,trump,
18562,avoteforhillary,62,hillary,pos
18566,transforhillary,62,hillary,pos
18572,superheroes4bernie,62,bern,pos
18575,berniecantwin,62,bern,pos
18576,bernieatgv,62,bern,
18578,bushlied,62,bush,
18582,michigan4hillary,62,hillary,pos
18598,trumpisgump,62,trump,
18608,ms4kasich,62,kasich,pos
18613,nuncacruz,62,cruz,
18616,romneyvstrump,62,trump,
18622,belikebernie,62,bern,
18627,presidentialtrump,62,trump,
18632,cruznazi,62,cruz,
18642,superdelegatesforbernie,62,bern,neg
18644,cruznwithted,62,cruz,
18647,childrenvotebernie,62,bern,pos
18650,clintoncastro,62,clinton,
18674,trumpstyle,61,trump,
18680,hillaryporn,61,hillary,
18682,marcorobot,61,marco,
18683,fuckyoutrump,61,trump,
